season,match_id,match_name,league_stage,year,venue,winning_margin,team_score_1,team_score_2,team_name_1,team_id_1,team_name_2,team_id_2,total_points_match,winner,loser,max_score
7,1807,Match 123,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",6,33,39,Gujarat Giants,31,Patna Pirates,6,72,Patna Pirates,Gujarat Giants,39
7,1808,Match 124,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",28,41,69,Bengal Warriors,4,Patna Pirates,6,110,Patna Pirates,Bengal Warriors,69
7,1809,Match 125,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",4,43,39,U.P. Yoddha,30,Puneri Paltan,7,82,U.P. Yoddha,Puneri Paltan,43
7,1810,Match 126,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",10,38,48,Telugu Titans,8,Gujarat Giants,31,86,Gujarat Giants,Telugu Titans,48
7,1811,Match 127,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",2,35,33,Tamil Thalaivas,29,Jaipur Pink Panthers,3,68,Tamil Thalaivas,Jaipur Pink Panthers,35
7,1812,Match 128,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",4,33,29,Bengal Warriors,4,Tamil Thalaivas,29,62,Bengal Warriors,Tamil Thalaivas,33
7,1813,Match 129,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",5,36,41,U.P. Yoddha,30,Telugu Titans,8,77,Telugu Titans,U.P. Yoddha,41
7,1814,Match 130,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",6,39,33,U Mumba,5,Haryana Steelers,28,72,U Mumba,Haryana Steelers,39
7,1815,Match 131,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",0,37,37,Dabang Delhi K.C.,2,U Mumba,5,74,tied,tied,37
7,1816,Match 132,League,2019,"Shaheed Vijay Singh Pathik Sports Complex, Greater Noida",12,45,33,U.P. Yoddha,30,Bengaluru Bulls,1,78,U.P. Yoddha,Bengaluru Bulls,45
7,1817,Match 133,Playoffs,2019,"The Arena By Transstadia, Ahmedabad",3,45,48,U.P. Yoddha,30,Bengaluru Bulls,1,93,Bengaluru Bulls,U.P. Yoddha,48
7,1818,Match 134,Playoffs,2019,"The Arena By Transstadia, Ahmedabad",8,46,38,U Mumba,5,Haryana Steelers,28,84,U Mumba,Haryana Steelers,46
7,1819,Match 135,Semi Final,2019,"The Arena By Transstadia, Ahmedabad",6,44,38,Dabang Delhi K.C.,2,Bengaluru Bulls,1,82,Dabang Delhi K.C.,Bengaluru Bulls,44
7,1820,Match 136,Semi Final,2019,"The Arena By Transstadia, Ahmedabad",2,37,35,Bengal Warriors,4,U Mumba,5,72,Bengal Warriors,U Mumba,37
7,1821,Match 137,Final,2019,"The Arena By Transstadia, Ahmedabad",5,34,39,Dabang Delhi K.C.,2,Bengal Warriors,4,73,Bengal Warriors,Dabang Delhi K.C.,39
8,2700,Match 1,League,2021,"Sheraton Grand, Whitefield, Bengaluru",16,30,46,Bengaluru Bulls,1,U Mumba,5,76,U Mumba,Bengaluru Bulls,46
8,2701,Match 2,League,2021,"Sheraton Grand, Whitefield, Bengaluru",0,40,40,Telugu Titans,8,Tamil Thalaivas,29,80,tied,tied,40
8,2702,Match 3,League,2021,"Sheraton Grand, Whitefield, Bengaluru",5,38,33,Bengal Warriors,4,U.P. Yoddhas,30,71,Bengal Warriors,U.P. Yoddhas,38
8,2703,Match 4,League,2021,"Sheraton Grand, Whitefield, Bengaluru",7,34,27,Gujarat Giants,31,Jaipur Pink Panthers,3,61,Gujarat Giants,Jaipur Pink Panthers,34
8,2704,Match 5,League,2021,"Sheraton Grand, Whitefield, Bengaluru",11,41,30,Dabang Delhi K.C.,2,Puneri Paltan,7,71,Dabang Delhi K.C.,Puneri Paltan,41
8,2705,Match 6,League,2021,"Sheraton Grand, Whitefield, Bengaluru",3,39,42,Haryana Steelers,28,Patna Pirates,6,81,Patna Pirates,Haryana Steelers,42
