player_id,name,jersey_number,captain_count,played_count,green_card_count,yellow_card_count,red_card_count,starter_count,top_raider_count,top_defender_count,total_points,team_id,team_name,total_matches_in_season,season,team_name,cards_total
7,Mostafa Noudehi,8,0,0,0,0,0,0,0,0,0,7,Puneri Paltan,14,1,Puneri Paltan,0
10,Simon Kibura,11,0,4,0,0,0,0,0,0,7,7,Puneri Paltan,14,1,Puneri Paltan,0
16,Waleed Al Hasani,70,0,6,0,0,0,1,0,0,28,7,Puneri Paltan,14,1,Puneri Paltan,0
30,Arbinda Khuntia,11,0,2,0,0,0,0,0,0,1,7,Puneri Paltan,14,1,Puneri Paltan,0
55,Jitesh Joshi,5,1,14,0,0,0,12,0,0,61,7,Puneri Paltan,14,1,Puneri Paltan,0
56,Kalimuthu Balamahendran,0,0,14,1,0,1,12,0,0,19,7,Puneri Paltan,14,1,Puneri Paltan,2
67,Mahipal Narwal,12,0,5,0,0,0,5,0,0,36,7,Puneri Paltan,14,1,Puneri Paltan,0
70,Manoj Kumar,4,1,14,1,0,0,14,0,0,34,7,Puneri Paltan,14,1,Puneri Paltan,1
76,Nitin More,0,0,9,1,0,0,7,0,0,0,7,Puneri Paltan,14,1,Puneri Paltan,1
79,Pravin Niwale,10,0,7,0,0,0,6,0,0,25,7,Puneri Paltan,14,1,Puneri Paltan,0
124,Wazir Singh,5,12,12,0,1,0,12,0,0,148,7,Puneri Paltan,14,1,Puneri Paltan,1
148,Sunil Subhash Lande,1,0,4,0,0,0,2,0,0,0,7,Puneri Paltan,14,1,Puneri Paltan,0
151,Vikas Tomar,12,0,8,0,0,0,4,0,0,0,7,Puneri Paltan,14,1,Puneri Paltan,0
168,Mangesh Bhagat,55,0,8,0,0,0,7,0,0,52,7,Puneri Paltan,14,1,Puneri Paltan,0
169,Sagar Khatale,19,0,8,0,0,0,8,0,0,0,7,Puneri Paltan,14,1,Puneri Paltan,0
170,Swapnil Dilip Shinde,8,0,8,0,0,0,8,0,0,0,7,Puneri Paltan,14,1,Puneri Paltan,0
152,D. Gopu,5,0,1,0,0,0,1,0,0,0,7,Puneri Paltan,14,1,Puneri Paltan,0
105,Shabeer Bapu,2,0,10,1,0,0,10,4,0,47,5,U Mumba,16,2,U Mumba,1
123,Vishal Prabhakar Mane,12,0,14,0,0,0,14,0,2,26,5,U Mumba,16,2,U Mumba,0
54,Jeeva Kumar,6,0,13,1,0,0,13,0,4,39,5,U Mumba,16,2,U Mumba,1
94,Rishank Devadiga,7,0,14,2,0,0,13,0,1,58,5,U Mumba,16,2,U Mumba,2
29,Anup Kumar,3,14,14,6,0,0,14,7,0,81,5,U Mumba,16,2,U Mumba,6
71,Mohit Chhillar,4,0,14,3,0,0,14,0,4,42,5,U Mumba,16,2,U Mumba,3
146,Surender Nada,1,0,14,2,0,0,13,0,3,44,5,U Mumba,16,2,U Mumba,2
156,Pawan Kumar,25,0,15,0,0,0,3,1,0,16,5,U Mumba,16,2,U Mumba,0
8,Masayuki Shimokawa,21,0,16,0,0,0,0,0,0,0,5,U Mumba,16,2,U Mumba,0
259,Fazel Atrachali,15,0,16,0,0,0,3,0,2,12,5,U Mumba,16,2,U Mumba,0
34,Bhupender Singh,36,0,16,2,0,0,6,2,0,30,5,U Mumba,16,2,U Mumba,2
226,Jawahar Vivek,27,0,4,0,0,0,0,0,0,0,5,U Mumba,16,2,U Mumba,0
219,K Prapanjan,30,0,6,0,0,0,2,0,0,7,5,U Mumba,16,2,U Mumba,0
171,Pradeep Kumar,8,2,10,0,0,0,3,2,0,26,5,U Mumba,16,2,U Mumba,0
173,Suresu Kumar,9,0,5,0,0,0,0,0,0,2,5,U Mumba,16,2,U Mumba,0
53,Jeeva Gopal,10,0,2,0,0,0,2,0,0,1,5,U Mumba,16,2,U Mumba,0
221,Anoop E.V.,24,0,2,0,0,0,2,0,0,2,5,U Mumba,16,2,U Mumba,0
228,Gopalappa Thimarayappa,33,0,2,0,0,0,0,0,0,0,5,U Mumba,16,2,U Mumba,0
229,Vinod Atyalkar,45,0,2,0,0,0,0,0,0,0,5,U Mumba,16,2,U Mumba,0
230,Onkar Jadhav,42,0,2,0,0,0,0,0,0,0,5,U Mumba,16,2,U Mumba,0
